RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2017-18),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
75,North Texas,C-USA,Seth Littrell,"$1,425,000","$1,425,000","$580,000","$130,000","$1,720,000","$4,425,000"
76,Wyoming,Mt. West,Craig Bohl,"$1,412,000","$1,412,000","$450,000","$236,000","$1,924,297","$8,016,667"
77,Toledo,MAC,Jason Candle,"$1,125,000","$1,125,000","$585,000","$210,000","$1,033,802","$3,558,333"
78,East Carolina,AAC,Scottie Montgomery,"$1,102,500","$1,102,500","$850,000",$0,"$1,776,600","$1,233,333"
79,Texas-San Antonio,C-USA,Frank Wilson,"$1,100,000","$1,100,000","$185,000","$17,500","$1,370,000","$3,562,500"
80,Connecticut,AAC,Randy Edsall,"$1,100,000","$1,100,000","$650,000","$129,000","$1,955,000","$1,000,000"
81,Florida Atlantic,C-USA,Lane Kiffin,"$1,000,000","$1,000,000","$1,150,000","$40,000","$1,500,000","$2,850,000"
82,South Florida,AAC,Charlie Strong,"$1,000,000","$1,000,000","$815,000","$70,000","$1,795,000","$192,308"
83,Liberty,Ind.,Turner Gill,"$947,281","$947,281",--,--,$0,--
84,Florida International,C-USA,Butch Davis,"$945,000","$945,000","$550,000","$35,000","$1,597,814","$3,185,626"
85,Utah State,Mt. West,Matt Wells,"$900,000","$900,000","$765,000","$65,000","$1,700,000","$2,122,917"
86,Alabama at Birmingham,C-USA,Bill Clark,"$900,000","$900,000","$950,000","$165,471","$1,110,250","$3,847,500"
87,San Diego State,Mt. West,Rocky Long,"$872,576","$873,576","$720,000","$95,000","$1,700,984","$447,412"
88,Louisiana-Lafayette,Sun Belt,Billy Napier,"$850,000","$850,000","$435,000",--,"$1,730,000","$2,671,875"
89,Arkansas State,Sun Belt,Blake Anderson,"$825,000","$825,000","$185,000","$25,000","$1,289,796","$300,000"
90,New Mexico,Mt. West,Bob Davie,"$822,690","$823,740","$340,000",$0,"$1,540,525","$1,303,294"
91,Troy,Sun Belt,Neal Brown,"$810,000","$810,000","$490,000","$100,000","$1,430,000","$2,911,667"
92,Western Kentucky,C-USA,Mike Sanford Jr.,"$800,000","$805,850","$400,000",$0,"$1,096,432","$1,200,000"
93,Middle Tennessee,C-USA,Rick Stockstill,"$801,504","$803,004","$126,142","$65,142","$1,263,296","$6,633,774"
94,Western Michigan,MAC,Tim Lester,"$800,000","$800,000","$346,500","$39,250","$1,138,000","$800,000"
95,Marshall,C-USA,Doc Holliday,"$762,570","$762,570","$145,000","$55,000","$1,232,000","$1,951,708"
96,Appalachian State,Sun Belt,Scott Satterfield,"$712,500","$712,500","$295,000","$145,000","$1,255,450","$2,160,417"
97,Louisiana Tech,C-USA,Skip Holtz,"$700,000","$700,000","$395,000",$0,"$1,215,000","$2,508,333"
98,Texas-El Paso,C-USA,Dana Dimel,"$700,000","$700,000","$741,665",--,"$1,317,500","$2,991,667"
99,Texas State,Sun Belt,Everett Withers,"$700,000","$700,000","$70,833",$0,"$979,920","$773,958"
100,Central Michigan,MAC,John Bonamego,"$655,000","$655,000","$415,000","$45,000","$977,147","$1,125,000"
101,Old Dominion,C-USA,Bobby Wilder,"$654,667","$654,667","$504,895",$0,"$1,129,051","$1,200,000"
102,Georgia Southern,Sun Belt,Chad Lunsford,"$650,000","$650,000","$295,000",--,"$1,245,000","$83,333"
103,Northern Illinois,MAC,Rod Carey,"$633,460","$633,460","$205,000","$42,500","$995,770","$1,822,918"
104,Charlotte,C-USA,Brad Lambert,"$625,000","$625,000","$120,000",$0,"$1,044,320","$556,389"
105,South Alabama,Sun Belt,Steve Campbell,"$600,000","$600,000","$295,000",--,"$1,225,000","$918,333"
106,Nevada-Las Vegas,Mt. West,Tony Sanchez,"$600,000","$600,000","$260,000",$0,"$1,371,010","$950,000"
107,San Jose State,Mt. West,Brent Brennan,"$590,424","$590,424","$210,000",$0,"$1,320,240","$1,476,060"
108,Ohio,MAC,Frank Solich,"$580,331","$580,331","$333,833","$60,772","$1,059,368","$558,275"
109,Georgia State,Sun Belt,Shawn Elliott,"$569,000","$569,000","$220,000","$60,000","$1,230,000","$1,500,000"
110,Miami (Ohio),MAC,Chuck Martin,"$524,826","$524,826","$582,110","$12,669","$1,065,200","$522,300"
111,Southern Mississippi,C-USA,Jay Hopson,"$500,000","$500,000","$870,000","$15,000","$1,100,000","$1,583,333"
112,Massachusetts,Ind.,Mark Whipple,"$500,000","$500,000","$305,000","$20,000","$887,500","$300,000"
113,Nevada,Mt. West,Jay Norvell,"$500,000","$500,000","$210,000",$0,"$1,391,345","$900,000"
114,Hawaii,Mt. West,Nick Rolovich,"$425,004","$486,504","$1,260,000",$0,$0,"$300,000"
115,Eastern Michigan,MAC,Chris Creighton,"$460,000","$460,000","$395,000","$10,000","$999,482","$950,000"
116,Buffalo,MAC,Lance Leipold,"$455,500","$455,500","$381,000",$0,"$1,042,934","$1,020,833"
117,Kent State,MAC,Sean Lewis,"$440,000","$440,000","$406,000",--,"$839,200","$1,150,000"
118,Bowling Green,MAC,Mike Jinks,"$437,228","$437,228","$245,000","$81,250","$904,320","$874,456"
119,Ball State,MAC,Mike Neu,"$435,689","$435,689","$380,000","$30,000","$1,011,617","$980,300"
120,New Mexico State,Ind.,Doug Martin,"$419,640","$419,640","$220,000","$20,000","$862,501","$1,532,790"
121,Akron,MAC,Terry Bowden,"$411,000","$412,500","$225,000","$50,000","$931,140","$688,500"
122,Coastal Carolina,Sun Belt,Joe Moglia,"$400,000","$400,000","$800,000","$25,000","$1,134,750","$516,667"
123,Louisiana-Monroe,Sun Belt,Matt Viator,"$390,000","$390,000","$50,000",$0,"$975,000","$175,000"
124,Baylor,Big 12,Matt Rhule,--,--,--,--,$0,--
125,Air Force,Mt. West,Troy Calhoun,--,--,--,--,$0,--
126,Brigham Young,Ind.,Kalani Sitake,--,--,--,--,$0,--
127,Rice,C-USA,Mike Bloomgren,--,--,--,--,$0,--
128,Temple,AAC,Geoff Collins,--,--,--,--,$0,--
129,Southern Methodist,AAC,Sonny Dykes,--,--,--,--,$0,--
130,Army,Ind.,Jeff Monken,--,--,--,--,$0,--
